"sample","n_with_driver_gene_id","driver_gene_id"
"B32_93_AS",1,"BRAF"
"B33_153_AS",0,NA
"B35_130_TR",0,NA
"B38_180_SI",0,NA
"B39_277_CE",1,"CTNNA2"
"B4_076_SI",2,"ALK;EPHA3"
"B41_277_AC",1,"CTNNA2"
"B42_277_RTM",0,NA
"B43_273_AS",1,"LRP1B"
"B44_273_TR",2,"CTNNA2;FGFR2"
"B45_273_SI",0,NA
"B46_273_DE",2,"ACVR1;EPHA7"
"B47_273_RE",2,"LRP1B;ERBB4"
"B5_031_RE",0,NA
"B6_153_SI",2,"ALK;LRP1B"
"B7_030_DC",0,NA
"B8_103_SI",1,"ALK"
"B9_115_RE",2,"LRP1B;GRIN2A"
"C1_103_TR",1,"FAT4"
"C10_93_CE",0,NA
"C14_115_TR",0,NA
"C15_277_TR",0,NA
"C16_180_CE",1,"LCP1"
"C17_93_AS",0,NA
"C18_277_DE",2,"LRP1B;ATM"
"C22_19_SI",0,NA
"C24_31_TR",0,NA
"C3_103_DE",1,"CTNNA2"
"C5_148_TR",0,NA
"C6_153_RE",0,NA
"D10_030_RE",1,"EPHA7"
"D11_153_DE",0,NA
"D12_058_SI",0,NA
"D13_076_RE",0,NA
"D14_074_RE",1,"LRP1B"
"D15_277_SI",0,NA
"D15b_277_SI",2,"ASXL2;IDH1"
"D16_040_SI",1,"CTNNA2"
"D17_130_CE",0,NA
"D18_153_TR",0,NA
"D2_09_TR",1,"FAT4"
"D20_153_SI",3,"LRP1B;ERBB4;CSMD3"
"D24_093_RE",0,NA
"D25_029_RE",0,NA
"D26_084_SI",1,"CSMD3"
"D27_074_SI",1,"CAMTA1"
"D29_030_AS",0,NA
"D30_029_AS",1,"BRAF"
"D31_031_DE",4,"DNMT3A;CTNNA2;ARID1B;CSMD3"
"D32_076_CE",0,NA
"D33_076_DE",0,NA
"D4_19_TR",0,NA
"D6_84_RE",4,"LRP1B;ERBB4;DCC"
"D7_40_RE",0,NA
"D8_076_AS",0,NA
"D9_084_AS",0,NA
"HLS_1C_30_B5",0,NA
"HLS_1C_30_D5",0,NA
"HLS_1C_30_G5",5,"LRP1B;ERBB4;FAM135B;DCC"
"HLS_1C_30_H5",0,NA
"HLS_2C_30_D6",1,"LRP1B"
"HLS_2C_30_E6",0,NA
"Laurel-1",1,"GOLGA5"
"Laurel-10",1,"CSMD3"
"Laurel-11",0,NA
"Laurel-12",0,NA
"Laurel-2",1,"CSMD3"
"Laurel-3",0,NA
"Laurel-5",0,NA
"Laurel-6",0,NA
"Laurel-7",0,NA
"Laurel-8",2,"FHIT;DCC"
"PD28690bx_2_a5",1,"FHIT"
"PD28690bx_2_d5",1,"LRP1B"
"PD28690cb_2_g1",0,NA
"PD28690cb_2_g3",1,"LRP1B"
"PD28690cb_2_h1",2,"LRP1B;FHIT"
"PD28690cb_2_h3",0,NA
"PD34199a_c17",0,NA
"PD34199a_c22",0,NA
"PD34199a_c27",2,"FAT4;ARID1B"
"PD34199a_c28",0,NA
"PD34199a_c3",0,NA
"PD34199a_c31",0,NA
"PD34199a_c5",0,NA
"PD34199a_c7",1,"EGFR"
"PD34199a_s13",0,NA
"PD34199a_s16",1,"EPHA3"
"PD34199a_s2",0,NA
"PD34199a_s27",0,NA
"PD34199a_s31",2,"ETV1;DCC"
"PD34199a_s4",2,"LEF1;FAT4"
"PD34199a_t14",0,NA
"PD34199a_t16",0,NA
"PD34199a_t18",0,NA
"PD34199a_t22",2,"ERBB4;FAT3"
"PD34199a_t24",0,NA
"PD34199a_t28",0,NA
"PD34199a_t31",1,"ANK1"
"PD34202a_s12",0,NA
"PD34202a_s15",0,NA
"PD34202a_s27",0,NA
"PD34202a_s41",0,NA
"PD34202a_s43",0,NA
"PD34202a_s9",0,NA
"PD36719a_lo005",4,"ASXL2;LRP1B;ERBB4;FHIT"
"PD36719a_lo008",0,NA
"PD36719a_lo018",1,"ALK"
"PD36719a_lo022",1,"CSMD3"
"PD36719a_lo034",2,"ERBB4;FHIT"
"PD36719a_lo048",1,"FAM135B"
"PD36719a_lo049",1,"CSMD3"
"PD36719a_lo066",0,NA
"PD36719a_lo072",0,NA
"PD36813aa",0,NA
"PD36813aa11",1,"DCC"
"PD36813aa12",0,NA
"PD36813aa16",1,"CSMD3"
"PD36813aa2",1,"DCC"
"PD36813aa7",0,NA
"PD36813ab10",1,"ARID1B"
"PD36813ab4",0,NA
"PD36813ab5",0,NA
"PD36813ac15",0,NA
"PD36813ac18",0,NA
"PD36813ac2",1,"CHD2"
"PD36813ac4",0,NA
"PD36813ac7",0,NA
"PD36813ad17",0,NA
"PD36813ad2",4,"LRP1B;CSMD3;FAT3;CDKN1B"
"PD36813ad8",1,"ALK"
"PD36813ad9",3,"LRP1B;ACVR1;CSMD3"
"PD36813ae",0,NA
"PD36813ae3",0,NA
"PD36813ae7",0,NA
"PD36813b4",4,"LRP1B;ARID1B;CSMD3"
"PD36813b5",1,"ERBB4"
"PD36813b6",1,"FHIT"
"PD36813c",0,NA
"PD36813c2",0,NA
"PD36813c3",0,NA
"PD36813d3",2,"FOXP1;FAT4"
"PD36813d5",0,NA
"PD36813e",0,NA
"PD36813e5",0,NA
"PD36813e6",1,"ERBB4"
"PD36813g2",1,"BIRC6"
"PD36813g4",0,NA
"PD36813h",0,NA
"PD36813h3",1,"DDX6"
"PD36813h5",1,"CDK12"
"PD36813i",1,"FLT3"
"PD36813i4",1,"GOLGA5"
"PD36813i6",1,"LRP1B"
"PD36813j",0,NA
"PD36813j3",1,"ARID2"
"PD36813j6",0,NA
"PD36813k",1,"AR"
"PD36813k3",1,"BRAF"
"PD36813k5",1,"DCC"
"PD36813l",2,"LRP1B;ARID2"
"PD36813l7",0,NA
"PD36813l8",1,"LRP1B"
"PD36813m3",1,"CTNNA2"
"PD36813m5",0,NA
"PD36813m8",0,NA
"PD36813n",1,"CSMD3"
"PD36813o2",1,"FOXO3"
"PD36813o9",2,"FAM135B;FGFR2"
"PD36813p",3,"CAMTA1;LRP1B;ERBB4"
"PD36813q11",0,NA
"PD36813q14",2,"DDR2;ERG"
"PD36813r12",2,"ERBB4;ARID2"
"PD36813r14",1,"ATM"
"PD36813s12",2,"CTNNA2"
"PD36813t20",1,"FHIT"
"PD36813u2",2,"ASXL2;FAT4"
"PD36813v4",0,NA
"PD36813x15",0,NA
"PD36813x16",2,"LRP1B;ERBB4"
"PD36813y13",0,NA
"PD36813y15",1,"LRP1B"
"PD36813y6",1,"ALK"
"PD36813y7",1,"CDH11"
"PD36813z15",0,NA
"PD36813z4",0,NA
"PD36813z5",0,NA
"PD36813z6",0,NA
"PD36813z7",0,NA
"PD36813z8",0,NA
"PD36814b2",1,"ASXL1"
"PD36814b7",0,NA
"PD36814c2",0,NA
"PD36814c3",2,"FOXO3;DCC"
"PD36814c4",0,NA
"PD36814d5",1,"CLTCL1"
"PD36814d6",0,NA
"PD36814d7",0,NA
"PD36814d8",0,NA
"PD36814e5",0,NA
"PD36814e6",2,"LRP1B;DCC"
"PD36814e7",0,NA
"PD36814e8",0,NA
"PD36814f4",1,"ACVR1"
"PD36814f8",1,"FAT4"
"PD36814g4",1,"CTNNA2"
"PD36814g7",2,"CSMD3"
"PD36814g8",1,"KDM6A"
"PD36814h2",0,NA
"PD36814h4",0,NA
"PD36814i",0,NA
"PD36814i3",0,NA
"PD36814i4",0,NA
"PD36814k2",0,NA
"PD36814k6",1,"CSMD3"
"PD36814k7",1,"ALK"
"PD36814k8",0,NA
"PD36814l2",4,"LRP1B;CREBBP;DCC;ERG"
"PD36814l4",1,"CSMD3"
"PD36814l7",0,NA
"PD36814l8",2,"ARID1B;BCOR"
"PD36814m5",1,"ERBB4"
"PD36814m8",0,NA
"PD37226b5",2,"CHD2;DCC"
"PD37226b6",1,"DCC"
"PD37226c5",1,"ARID1B"
"PD37226c6",1,"DCC"
"PD37226c7",2,"CSMD3;LCP1"
"PD37226c8",1,"AXIN2"
"PD37226d4",0,NA
"PD37226d5",0,NA
"PD37226d6",0,NA
"PD37226e4",0,NA
"PD37226e5",1,"DCC"
"PD37226f5",0,NA
"PD37226f6",0,NA
"PD37226f7",0,NA
"PD37226g5",0,NA
"PD37226g6",0,NA
"PD37226g7",1,"LRP1B"
"PD37226h4",3,"ALK;CTNNA2;FHIT"
"PD37226h7",1,"CSMD3"
"PD37226h8",0,NA
"PD37226i5",0,NA
"PD37226i6",0,NA
"PD37226i7",2,"CTNND1;COL1A1"
"PD37226i8",2,"CAMTA1;DCC"
"PD37226j4",2,"LRP1B;IDH1"
"PD37226j5",1,"CTNND1"
"PD37226j6",1,"GNAQ"
"PD37226j7",1,"CSMD3"
"PD37226j8",4,"ARID1B;CSMD3;CREBBP;BCOR"
"PD37226k2",0,NA
"PD37226k5",0,NA
"PD37226k6",1,"CCR4"
"PD37226k8",1,"ERBB4"
"PD37226l5",1,"FOXO3"
"PD37226l6",0,NA
"PD37226l7",0,NA
"PD37226l8",0,NA
"PD37226m5",0,NA
"PD37226m7",3,"LRP1B;FAM135B;DCC"
"PD37226m8",0,NA
"PD37226o4",1,"ERBB4"
"PD37226o5",3,"LRP1B;BRAF;CDH11"
"PD37226p7",2,"CTNNA2;FAT3"
"PD37265b",1,"GRIN2A"
"PD37265b7",1,"ARID2"
"PD37265c2",0,NA
"PD37265c3",0,NA
"PD37265c5",1,"FAM135B"
"PD37265d",2,"FHIT;FOXP1"
"PD37265d5",0,NA
"PD37265d8",0,NA
"PD37265e",2,"FOXP1;ANK1"
"PD37265e5",1,"ANK1"
"PD37265f",1,"FHIT"
"PD37265f2",0,NA
"PD37265f4",0,NA
"PD37265g6",0,NA
"PD37265g7",0,NA
"PD37265g8",0,NA
"PD37265h5",1,"ERBB4"
"PD37265h6",1,"DCC"
"PD37265h8",0,NA
"PD37265i2",1,"CDKN1B"
"PD37265i7",2,"LRP1B;CLTCL1"
"PD37265k",0,NA
"PD37265k2",1,"IRF4"
"PD37265k3",1,"CSMD3"
"PD37265l2",1,"AXIN2"
"PD37265l6",2,"CTNNA2;AR"
"PD37265m3",1,"CTNNA2"
"PD37265m4",1,"LRP1B"
"PD37266b_lo0004",1,"CTNNA2"
"PD37266b_lo0005",0,NA
"PD37266b_lo0006",0,NA
"PD37266b_lo0007",0,NA
"PD37266b_lo0008",2,"ANK1;FAT3"
"PD37266b_lo0017",0,NA
"PD37266b_lo0023",0,NA
"PD37266c_lo0010",1,"LRP1B"
"PD37266c_lo0012",0,NA
"PD37266c_lo0014",1,"DCC"
"PD37266c_lo0016",0,NA
"PD37266c_lo0018",1,"CSMD3"
"PD37266c_lo0023",1,"FAT3"
"PD37266d_lo0002",0,NA
"PD37266d_lo0010",2,"ATM;GRIN2A"
"PD37266d_lo0012",0,NA
"PD37266d_lo0014",0,NA
"PD37266e_lo0008",1,"CSMD3"
"PD37266e_lo0010",0,NA
"PD37449c_lo0001",4,"LRP1B;ERBB4;FOXP1;CSMD3"
"PD37449c_lo0009",0,NA
"PD37449c_lo0014",1,"LRP1B"
"PD37449c_lo0017",3,"CAMTA1;LRP1B;EPHA3"
"PD37449d_lo0001",0,NA
"PD37449d_lo0002",0,NA
"PD37449d_lo0003",1,"AR"
"PD37449d_lo0006",5,"CAMTA1;ASXL2;CTNNA2;EPHA3;AR"
"PD37449d_lo0011",0,NA
"PD37449d_lo0012",1,"DNMT3A"
"PD37449d_lo0017",0,NA
"PD37449e_lo0001",0,NA
"PD37449e_lo0002",0,NA
"PD37449e_lo0003",0,NA
"PD37449e_lo0004",0,NA
"PD37449e_lo0006",0,NA
"PD37449e_lo0008",3,"LRP1B;ERBB4;EPHA3"
"PD37449e_lo0010",0,NA
"PD37449e_lo0014",1,"ALK"
"PD37449e_lo0015",0,NA
"PD37449f_lo0002",1,"ERBB4"
"PD37449f_lo0006",0,NA
"PD37449f_lo0008",1,"LRP1B"
"PD37449f_lo0010",0,NA
"PD37449f_lo0011",0,NA
"PD37449f_lo0016",1,"CREBBP"
"PD37449f_lo0017",2,"CTNNA2;LRP1B"
"PD37449f_lo0019",0,NA
"PD37449f_lo0022",0,NA
"PD37449f_lo0023",0,NA
"PD37457b4",0,NA
"PD37457c4",0,NA
"PD37457e6",1,"LRP1B"
"PD37457f4",0,NA
"PD37457f7",1,"CAMTA1"
"PD37457g5",2,"LRP1B;FAT3"
"PD37457h2",0,NA
"PD37457h5",0,NA
"PD37457i4",0,NA
"PD37457i5",0,NA
"PD37457j7",2,"CHD2;KDM6A"
"PD37457j8",2,"FBXW7;AXIN2"
"PD37509b8",0,NA
"PD37509b9",0,NA
"PD37510b4",0,NA
"PD37510b7",1,"ALK"
"PD37510b8",0,NA
"PD37512a11",1,"CTNNA2"
"PD37512a4",2,"CTNNA2;FAT3"
"PD37512a5",0,NA
"PD37512b7",2,"CTNNA2;FHIT"
"PD37513a13",0,NA
"PD37513a2",3,"CAMTA1;DNMT3A;DCC"
"PD37513a20",0,NA
"PD37513a21",0,NA
"PD37513a3",0,NA
"PD37513b5",0,NA
"PD37513b7",0,NA
"PD37513b8",1,"LRP1B"
"PD37514a",1,"FHIT"
"PD37514a2",1,"BRCA2"
"PD37514a3",0,NA
"PD37514b3",0,NA
"PD37514b7",2,"ERBB4;CCND3"
"PD37514b8",0,NA
"PD37590b_lo0010",2,"ALK;BRAF"
"PD37590b_lo0015",1,"CDH11"
"PD37590b_lo0018",1,"FBXW7"
"PD37590b_lo0030",0,NA
"PD37590b_lo0033",2,"LRP1B;GNAQ"
"PD37590b_lo0041",2,"ERBB4;EPHA7"
"PD37590b_lo0051",1,"FHIT"
"PD37590b_lo0052",0,NA
"PD37590b_lo0053",1,"DCC"
"PD37590b_lo0058",1,"CTNNA2"
"PD37590b_lo0074",2,"CSMD3;FAT3"
"PD37590b_lo0075",1,"ETV1"
"PD37590b_lo0090",1,"ERBB4"
"PD37590b_lo0092",1,"FHIT"
"PD37590b_lo0107",0,NA
"PD37590b_lo0116",1,"CASP8"
"PD37590b_lo0117",1,"CSMD3"
"PD37590c_lo0001",1,"CTNNA2"
"PD37590c_lo0005",0,NA
"PD37590c_lo0009",1,"COL1A1"
"PD37590c_lo0019",0,NA
"PD37590c_lo0021",0,NA
"PD37590c_lo0025",1,"LRP1B"
"PD37590c_lo0032",0,NA
"PD37590c_lo0034",0,NA
"PD37590c_lo0040",0,NA
"PD37590c_lo0048",1,"FGFR2"
"PD37590d_lo0012",0,NA
